OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,Order Quantity,Discount Applied,Unit Price,Unit Cost,Customer Names,Product Name,Sales Team,City Name,Population,Household Income,Median Income,State,Unit Profit
SO - 0001713,In-Store,WARE-NMK1003,2018-07-19,2018-12-09,2018-12-23,2019-01-01,USD,5,0.05,1058.6000000000001,561.0580000000001,Apollo Ltd,Mirrors,Adam Hernandez,Augusta,201793,73917,39464,Georgia,497.54200000000003
SO - 0001714,In-Store,WARE-PUJ1005,2018-10-27,2018-12-09,2018-12-22,2018-12-29,USD,5,0.05,221.1,97.28399999999999,"PEDIFIX, Corp",Table Linens,Joshua Bennett,Arlington,388125,133808,53326,Texas,123.816
SO - 0001715,In-Store,WARE-NMK1003,2018-10-27,2018-12-09,2019-01-04,2019-01-13,USD,1,0.1,3296.4,2505.264,Burt's Corp,Wall Frames,Keith Griffin,Augusta,201793,73917,39464,Georgia,791.136
SO - 0001716,In-Store,WARE-NMK1003,2018-07-19,2018-12-09,2018-12-11,2018-12-20,USD,6,0.05,5648.1,2711.088,New Ltd,Wall Coverings,Carl Nguyen,Naperville,147100,50073,109468,Illinois,2937.012
SO - 0001717,Wholesale,WARE-PUJ1005,2018-07-19,2018-12-09,2018-12-21,2018-12-28,USD,1,0.1,1118.9,727.2850000000001,Medsep Group,Cookware,Carlos Miller,Arlington,388125,133808,53326,Texas,391.615
SO - 0001718,In-Store,WARE-PUJ1005,2018-10-27,2018-12-09,2018-12-30,2019-01-09,USD,4,0.075,2680.0,2224.4,Prasco Group,Candleholders,Keith Griffin,Clarksville,149176,51776,46947,Tennessee,455.5999999999999
SO - 0001719,In-Store,WARE-UHY1004,2018-07-19,2018-12-10,2019-01-01,2019-01-08,USD,8,0.05,3865.9,2860.766,Llorens Ltd,Clocks,Jonathan Hawkins,Durham,257636,100513,50420,North Carolina,1005.134
SO - 0001720,In-Store,WARE-NMK1003,2018-10-27,2018-12-10,2019-01-07,2019-01-08,USD,1,0.075,951.4,399.58799999999997,Amylin Group,Photo Frames,Shawn Cook,Aurora,200661,61449,63090,Illinois,551.812
SO - 0001721,Online,WARE-XYS1001,2018-10-27,2018-12-11,2018-12-21,2018-12-27,USD,6,0.075,5621.3,4272.188,Victory Ltd,Vanities,Frank Brown,Murrieta,109830,32685,74610,California,1349.112
SO - 0001722,In-Store,WARE-UHY1004,2018-07-19,2018-12-11,2018-12-25,2019-01-04,USD,3,0.1,3999.9,3119.922,"Elorac, Corp",Cookware,Stephen Payne,Paterson,147754,43037,32915,New Jersey,879.9780000000001
SO - 0001723,Online,WARE-XYS1001,2018-10-27,2018-12-11,2018-12-29,2018-12-30,USD,2,0.05,6398.5,3647.1449999999995,Medline ,Bar Tools,Shawn Wallace,Modesto,211266,70481,48577,California,2751.3550000000005
SO - 0001724,Distributor,WARE-XYS1001,2018-07-19,2018-12-11,2019-01-02,2019-01-10,USD,2,0.3,1038.5,633.485,S.S.S. Group,Computers,Roy Rice,Birmingham,212461,89972,31061,Alabama,405.015
SO - 0001725,Distributor,WARE-NMK1003,2018-07-19,2018-12-11,2018-12-23,2018-12-26,USD,7,0.075,6525.8,2806.094,Sundial ,Ornaments,Anthony Torres,Washington,672228,273390,70848,District of Columbia,3719.706
SO - 0001726,In-Store,WARE-UHY1004,2018-07-19,2018-12-11,2019-01-07,2019-01-13,USD,5,0.4,1092.1000000000001,808.1540000000001,Select ,Candles,George Lewis,Sterling Heights,132052,49444,60089,Michigan,283.946
SO - 0001727,Wholesale,WARE-NMK1003,2018-07-19,2018-12-11,2019-01-05,2019-01-06,USD,3,0.05,3879.3,2715.5099999999998,Ei ,Bathroom Furniture,Donald Reynolds,Miramar,137132,38474,65282,Florida,1163.7900000000004
SO - 0001728,In-Store,WARE-UHY1004,2018-07-19,2018-12-11,2019-01-04,2019-01-05,USD,6,0.1,2599.6,2027.688,Uriel Group,Wreaths,Joshua Bennett,Enterprise,124564,43699,68137,Nevada,571.9119999999998
SO - 0001729,In-Store,WARE-NMK1003,2018-07-19,2018-12-11,2018-12-30,2019-01-05,USD,2,0.05,850.9,485.0129999999999,Trigen ,Platters,Keith Griffin,Lafayette,127657,50025,46517,Louisiana,365.88700000000006
SO - 0001730,Wholesale,WARE-NMK1003,2018-07-19,2018-12-12,2018-12-30,2019-01-07,USD,2,0.1,1031.8,773.8499999999999,Niconovum Corp,Bar Tools,Shawn Torres,Hartford (Town),124006,45239,30630,Connecticut,257.95000000000005
SO - 0001731,Wholesale,WARE-NBV1002,2018-10-27,2018-12-12,2018-12-23,2018-12-25,USD,8,0.075,194.3,79.663,Mylan Corp,Serveware,Shawn Torres,Simi Valley,126788,41972,90210,California,114.63700000000001
SO - 0001732,In-Store,WARE-NMK1003,2018-07-19,2018-12-12,2019-01-08,2019-01-14,USD,2,0.2,2331.6,1585.488,Wuxi Group,Audio,George Lewis,Lisle (Township),119818,45377,86610,Illinois,746.1119999999999
SO - 0001733,Distributor,WARE-NMK1003,2018-07-19,2018-12-12,2018-12-14,2018-12-23,USD,3,0.2,3001.6,2191.1679999999997,Pacific Ltd,TV and video,Roy Rice,Joliet,147861,46895,60976,Illinois,810.4320000000002
SO - 0001734,In-Store,WARE-NMK1003,2018-07-19,2018-12-12,2018-12-29,2019-01-04,USD,3,0.05,207.70000000000002,168.23700000000002,Prasco Group,Outdoor Furniture,Stephen Payne,Tallahassee,189907,74388,39681,Florida,39.462999999999994
SO - 0001735,In-Store,WARE-MKL1006,2018-07-19,2018-12-12,2018-12-15,2018-12-21,USD,6,0.2,743.7,438.783,Weimei Corp,Cocktail Glasses,Adam Hernandez,Spokane,213272,87623,42386,Washington,304.91700000000003
SO - 0001736,In-Store,WARE-NMK1003,2018-07-19,2018-12-12,2018-12-30,2018-12-31,USD,7,0.075,207.70000000000002,120.46600000000001,U.S. Ltd,Candleholders,Adam Hernandez,Lehigh Acres,106747,31831,40226,Florida,87.23400000000001
SO - 0001737,Distributor,WARE-NMK1003,2018-07-19,2018-12-12,2018-12-14,2018-12-17,USD,3,0.1,5768.7,3922.7160000000003,OHTA'S Corp,Audio,Samuel Fowler,Port St. Lucie,179413,59221,49813,Florida,1845.9839999999995
SO - 0001738,In-Store,WARE-MKL1006,2018-10-27,2018-12-12,2019-01-06,2019-01-08,USD,7,0.4,1916.2,1341.34,Bare ,Clocks,Joshua Ryan,Everett,108010,42079,49578,Washington,574.8600000000001
SO - 0001739,In-Store,WARE-NMK1003,2018-10-27,2018-12-12,2019-01-08,2019-01-09,USD,8,0.3,2633.1,2238.1349999999998,Medsep Group,Phones,Joshua Ryan,Stamford (Town),128874,46974,79359,Connecticut,394.96500000000015
SO - 0001740,In-Store,WARE-NMK1003,2018-07-19,2018-12-12,2018-12-19,2018-12-21,USD,7,0.1,1065.3,639.18,Nipro ,Floral,Shawn Cook,Greeley,100883,33774,48813,Colorado,426.12
SO - 0001741,In-Store,WARE-NBV1002,2018-10-27,2018-12-12,2018-12-14,2018-12-16,USD,3,0.2,2257.9,1603.109,"Fenwal, Corp",Collectibles,George Lewis,Victorville,122225,31886,45894,California,654.7910000000002
SO - 0001742,Online,WARE-UHY1004,2018-07-19,2018-12-12,2019-01-03,2019-01-12,USD,1,0.05,991.6,545.3800000000001,Pacific Ltd,Bedroom Furniture,Todd Roberts,Newark,281944,92675,33139,New Jersey,446.2199999999999
SO - 0001743,Wholesale,WARE-NMK1003,2018-10-27,2018-12-12,2019-01-04,2019-01-13,USD,4,0.075,2338.3,1660.193,Bare ,Bakeware,Carlos Miller,Wayne,106185,41596,32194,Indiana,678.1070000000002
SO - 0001744,In-Store,WARE-MKL1006,2018-10-27,2018-12-13,2018-12-30,2019-01-03,USD,7,0.075,2988.2000000000003,1583.7460000000003,Ohio ,Cookware,Shawn Cook,Waco,132356,46719,33147,Texas,1404.454
SO - 0001745,In-Store,WARE-NMK1003,2018-10-27,2018-12-13,2018-12-26,2018-12-31,USD,6,0.4,1118.9,682.529,Amylin Group,Floral,George Lewis,Naperville,147100,50073,109468,Illinois,436.3710000000001
SO - 0001746,Online,WARE-UHY1004,2018-07-19,2018-12-13,2019-01-08,2019-01-17,USD,6,0.15,2485.7000000000003,1267.707,"Apotheca, Ltd",Furniture Cushions,Shawn Wallace,Detroit,677116,255740,25764,Michigan,1217.9930000000002
SO - 0001747,In-Store,WARE-NMK1003,2018-07-19,2018-12-13,2018-12-25,2019-01-04,USD,4,0.2,2847.5,1708.5,Pacific Ltd,Wine Storage,Chris Armstrong,Coral Springs,129485,40571,66430,Florida,1139.0
SO - 0001748,In-Store,WARE-NBV1002,2018-07-19,2018-12-13,2019-01-09,2019-01-12,USD,4,0.2,3296.4,2571.192,Prasco Group,Outdoor Furniture,Adam Hernandez,Sacramento,490712,178185,50739,California,725.2080000000001
SO - 0001749,Online,WARE-XYS1001,2018-07-19,2018-12-13,2018-12-21,2018-12-30,USD,4,0.1,971.5,689.765,Ascend Ltd,Ornaments,Shawn Wallace,Escondido,151451,45041,50899,California,281.735
SO - 0001750,Distributor,WARE-PUJ1005,2018-07-19,2018-12-13,2019-01-07,2019-01-17,USD,7,0.2,194.3,102.97900000000001,OUR Ltd,Dining Furniture,Samuel Fowler,North Charleston,108304,37597,39543,South Carolina,91.321
SO - 0001751,Online,WARE-NMK1003,2018-10-27,2018-12-13,2018-12-21,2018-12-27,USD,6,0.4,5969.7,3223.638,Wuxi Group,Basketball,Carl Nguyen,Proviso,151772,54255,53281,Illinois,2746.062
SO - 0001752,Online,WARE-NMK1003,2018-07-19,2018-12-14,2018-12-18,2018-12-27,USD,1,0.05,1078.7,625.646,Avon Corp,Ornaments,Paul Holmes,Naperville,147100,50073,109468,Illinois,453.0540000000001
SO - 0001753,In-Store,WARE-NMK1003,2018-07-19,2018-12-14,2019-01-10,2019-01-15,USD,7,0.05,2412.0,1640.16,Trigen ,Rugs,Jonathan Hawkins,Miramar,137132,38474,65282,Florida,771.8399999999999
SO - 0001754,In-Store,WARE-XYS1001,2018-07-19,2018-12-14,2019-01-06,2019-01-09,USD,4,0.05,1159.1000000000001,904.0980000000002,Nipro ,TV and video,Joshua Little,Bakersfield,373640,112439,57095,California,255.00199999999995
SO - 0001755,In-Store,WARE-MKL1006,2018-07-19,2018-12-14,2018-12-17,2018-12-18,USD,4,0.075,1882.7,809.561,Pure Group,Dining Furniture,Carl Nguyen,Richmond,220289,87224,40758,Virginia,1073.1390000000001
SO - 0001756,In-Store,WARE-UHY1004,2018-10-27,2018-12-14,2018-12-20,2018-12-28,USD,6,0.2,1949.7,1072.335,E. Ltd,Wreaths,Stephen Payne,Sterling Heights,132052,49444,60089,Michigan,877.365
SO - 0001757,Distributor,WARE-NMK1003,2018-07-19,2018-12-14,2019-01-10,2019-01-11,USD,3,0.05,1098.8,747.184,U.S. Ltd,Baseball,Joe Price,Westminster,113130,42239,67081,Colorado,351.616
SO - 0001758,In-Store,WARE-NMK1003,2018-07-19,2018-12-14,2019-01-02,2019-01-04,USD,7,0.05,3155.7000000000003,2335.2180000000003,Wuxi Group,Vases,Keith Griffin,Rockford,148278,58559,38716,Illinois,820.482
SO - 0001759,Distributor,WARE-NMK1003,2018-07-19,2018-12-14,2018-12-29,2019-01-04,USD,5,0.2,2680.0,2144.0,Burt's Corp,Wall Coverings,Douglas Tucker,Jacksonville,868031,318575,46764,Florida,536.0
SO - 0001760,Wholesale,WARE-PUJ1005,2018-07-19,2018-12-14,2018-12-18,2018-12-25,USD,5,0.05,5956.3,3871.5950000000003,21st Ltd,Bakeware,Patrick Graham,Arlington,388125,133808,53326,Texas,2084.705
SO - 0001761,In-Store,WARE-UHY1004,2018-07-19,2018-12-15,2019-01-03,2019-01-10,USD,8,0.1,2010.0,924.6,"Apotheca, Ltd",Clocks,Jerry Green,Brookhaven,489278,161116,87040,New York,1085.4
SO - 0001762,Online,WARE-PUJ1005,2018-10-27,2018-12-15,2018-12-26,2018-12-27,USD,6,0.075,1319.9,963.527,Medline ,Dinnerware,Anthony Torres,Killeen,140806,46952,47763,Texas,356.37300000000005
SO - 0001763,In-Store,WARE-NBV1002,2018-07-19,2018-12-15,2018-12-17,2018-12-22,USD,8,0.075,1775.5,1065.3,Mylan Corp,Collectibles,Stephen Payne,Santa Maria,105093,27365,50433,California,710.2
SO - 0001764,In-Store,WARE-XYS1001,2018-07-19,2018-12-15,2019-01-04,2019-01-09,USD,2,0.15,187.6,129.444,Ascend Ltd,Floor Lamps,Adam Hernandez,Hayward,158289,46713,65096,California,58.156000000000006
SO - 0001765,In-Store,WARE-NMK1003,2018-07-19,2018-12-15,2018-12-27,2018-12-29,USD,5,0.05,1139.0,899.8100000000001,"Elorac, Corp",Vanities,Joshua Bennett,Rockford,148278,58559,38716,Illinois,239.18999999999994
SO - 0001766,In-Store,WARE-XYS1001,2018-10-27,2018-12-15,2018-12-18,2018-12-23,USD,5,0.15,1005.0,824.0999999999999,Dharma Ltd,Wreaths,Joshua Ryan,Lancaster,161103,47427,47225,California,180.9000000000001
SO - 0001767,Distributor,WARE-NBV1002,2018-07-19,2018-12-15,2018-12-25,2018-12-29,USD,5,0.2,2385.2000000000003,1097.1920000000002,E. Ltd,Pillows,Patrick Graham,Palmdale,158351,42720,52392,California,1288.008
SO - 0001768,Online,WARE-NMK1003,2018-10-27,2018-12-15,2019-01-07,2019-01-13,USD,6,0.05,1085.4,911.736,Mylan Corp,Cookware,Frank Brown,Fort Wayne,260326,102273,43774,Indiana,173.6640000000001
SO - 0001769,Online,WARE-PUJ1005,2018-10-27,2018-12-15,2018-12-20,2018-12-23,USD,5,0.2,1809.0,1519.56,Ole Group,Serveware,Anthony Berry,Abilene,121721,42348,43189,Texas,289.44000000000005
SO - 0001770,Wholesale,WARE-UHY1004,2018-07-19,2018-12-15,2018-12-29,2019-01-05,USD,4,0.05,897.8000000000001,646.416,Trigen ,Photo Frames,Donald Reynolds,Enterprise,124564,43699,68137,Nevada,251.38400000000001
SO - 0001771,In-Store,WARE-PUJ1005,2018-10-27,2018-12-15,2018-12-25,2018-12-26,USD,3,0.2,1246.2,847.416,Pure Group,Mirrors,Jerry Green,Broken Arrow,106563,37246,67131,Oklahoma,398.784
SO - 0001772,In-Store,WARE-XYS1001,2018-07-19,2018-12-15,2019-01-01,2019-01-11,USD,1,0.3,1118.9,503.50500000000005,OHTA'S Corp,Rugs,Chris Armstrong,Burbank,105319,41361,66076,California,615.395
SO - 0001773,Online,WARE-NBV1002,2018-07-19,2018-12-15,2018-12-23,2018-12-31,USD,3,0.05,1018.4,835.088,Llorens Ltd,Bathroom Furniture,Nicholas Cunningham,Vallejo,121253,41216,57028,California,183.312
SO - 0001774,Distributor,WARE-UHY1004,2018-07-19,2018-12-15,2018-12-26,2018-12-29,USD,1,0.075,5105.400000000001,3982.2120000000004,Pure Group,Outdoor Decor,Douglas Tucker,Minneapolis,410939,168385,51480,Minnesota,1123.188
SO - 0001775,In-Store,WARE-MKL1006,2018-07-19,2018-12-16,2019-01-13,2019-01-21,USD,8,0.075,1159.1000000000001,753.4150000000001,Ole Group,Stemware,Joshua Ryan,Tacoma,207948,79026,52042,Washington,405.68500000000006
SO - 0001776,In-Store,WARE-PUJ1005,2018-07-19,2018-12-16,2019-01-08,2019-01-10,USD,3,0.075,1916.2,1379.664,New Ltd,Clocks,George Lewis,Tulsa,403505,164471,42284,Oklahoma,536.5360000000001
SO - 0001777,In-Store,WARE-NBV1002,2018-07-19,2018-12-16,2019-01-01,2019-01-06,USD,3,0.15,247.9,131.387,Weimei Corp,Accessories,Joshua Ryan,Sacramento,490712,178185,50739,California,116.513
SO - 0001778,Wholesale,WARE-UHY1004,2018-07-19,2018-12-16,2019-01-12,2019-01-14,USD,4,0.075,884.4,610.236,Eminence Corp,Phones,Donald Reynolds,Columbia,119108,45024,44907,Missouri,274.164
SO - 0001779,Distributor,WARE-UHY1004,2018-07-19,2018-12-17,2019-01-06,2019-01-11,USD,1,0.1,1139.0,774.5200000000001,"Apotheca, Ltd",Floor Lamps,Patrick Graham,Edison,102701,35198,90515,New Jersey,364.4799999999999
SO - 0001780,Wholesale,WARE-MKL1006,2018-07-19,2018-12-17,2019-01-11,2019-01-14,USD,3,0.3,174.20000000000002,85.358,Ole Group,Photo Frames,Donald Reynolds,The Woodlands,102911,38114,109917,Texas,88.84200000000001
SO - 0001781,Online,WARE-NMK1003,2018-07-19,2018-12-17,2018-12-22,2018-12-26,USD,8,0.05,951.4,761.12,Pacific Ltd,Wreaths,Frank Brown,North,157105,58240,44334,Indiana,190.27999999999997
SO - 0001782,Online,WARE-NMK1003,2018-10-27,2018-12-17,2019-01-03,2019-01-13,USD,4,0.05,167.5,125.625,Nipro ,Vases,Anthony Torres,Kansas City,151306,54629,38749,Kansas,41.875
SO - 0001783,Wholesale,WARE-NMK1003,2018-07-19,2018-12-17,2019-01-12,2019-01-22,USD,8,0.05,5138.900000000001,3956.9530000000004,Pure Group,Candleholders,Carlos Miller,Sandy Springs,105330,43058,63917,Georgia,1181.9470000000001
SO - 0001784,Online,WARE-NMK1003,2018-10-27,2018-12-17,2018-12-26,2019-01-01,USD,7,0.05,214.4,109.34400000000001,Medline ,Pendants,Frank Brown,York,125730,47997,76285,Illinois,105.056
SO - 0001785,Distributor,WARE-PUJ1005,2018-10-27,2018-12-18,2018-12-26,2018-12-29,USD,8,0.15,1011.7,475.49899999999997,Procter Corp,Cookware,Joe Price,Sioux Falls,171544,65538,52494,South Dakota,536.201
SO - 0001786,Distributor,WARE-MKL1006,2018-07-19,2018-12-18,2019-01-15,2019-01-24,USD,6,0.05,1159.1000000000001,915.6890000000002,"3LAB, Ltd",Blankets,Douglas Tucker,Midland,132950,43214,69173,Texas,243.41099999999994
SO - 0001787,Distributor,WARE-UHY1004,2018-07-19,2018-12-18,2019-01-11,2019-01-17,USD,3,0.05,1058.6000000000001,857.4660000000001,"Fenwal, Corp",Rugs,Joe Price,Billings,110263,44092,51012,Montana,201.13400000000001
SO - 0001788,Wholesale,WARE-MKL1006,2018-10-27,2018-12-18,2019-01-06,2019-01-10,USD,4,0.15,1869.3,766.4129999999999,WakeFern ,Festive,Shawn Torres,Norfolk,246393,87045,44480,Virginia,1102.8870000000002
SO - 0001789,Online,WARE-XYS1001,2018-10-27,2018-12-18,2019-01-13,2019-01-20,USD,5,0.4,1762.1000000000001,1409.6800000000003,Niconovum Corp,Table Linens,Shawn Wallace,Ontario,171214,47375,54114,California,352.41999999999985
SO - 0001790,Online,WARE-PUJ1005,2018-07-19,2018-12-18,2018-12-24,2018-12-25,USD,3,0.075,2492.4,1869.3000000000002,21st Ltd,Outdoor Furniture,Frank Brown,Lubbock,249042,90433,44648,Texas,623.0999999999999
SO - 0001791,Distributor,WARE-MKL1006,2018-07-19,2018-12-18,2019-01-09,2019-01-16,USD,7,0.075,3919.5,2038.14,Medline ,Rugs,Anthony Torres,West Jordan,111946,31742,68442,Utah,1881.36
SO - 0001792,Distributor,WARE-NMK1003,2018-10-27,2018-12-18,2019-01-09,2019-01-12,USD,1,0.075,2519.2000000000003,1007.6800000000002,Uriel Group,Dinnerware,Samuel Fowler,Augusta,201793,73917,39464,Georgia,1511.52
SO - 0001793,Wholesale,WARE-MKL1006,2018-10-27,2018-12-18,2019-01-01,2019-01-06,USD,3,0.3,3872.6,3252.984,21st Ltd,TV and video,Donald Reynolds,Everett,108010,42079,49578,Washington,619.616
SO - 0001794,In-Store,WARE-NMK1003,2018-07-19,2018-12-19,2019-01-07,2019-01-13,USD,2,0.075,1855.9,1354.807,OHTA'S Corp,Wardrobes,George Lewis,Davenport,102582,41100,47343,Iowa,501.0930000000001
SO - 0001795,In-Store,WARE-UHY1004,2018-07-19,2018-12-19,2018-12-30,2019-01-06,USD,1,0.05,4006.6,3205.28,Mylan Corp,Serveware,Joshua Bennett,North Las Vegas,234807,68686,52511,Nevada,801.3199999999997
SO - 0001796,Online,WARE-UHY1004,2018-07-19,2018-12-19,2018-12-26,2018-12-28,USD,7,0.1,1721.9,1360.3010000000002,Ole Group,Candleholders,Shawn Wallace,Baltimore,621849,242268,42241,Maryland,361.59899999999993
SO - 0001797,In-Store,WARE-NMK1003,2018-07-19,2018-12-19,2019-01-06,2019-01-13,USD,2,0.05,1038.5,726.9499999999999,"PEDIFIX, Corp",Candles,Stephen Payne,Atlanta,463878,185820,47527,Georgia,311.55000000000007
SO - 0001798,Wholesale,WARE-NMK1003,2018-07-19,2018-12-19,2019-01-10,2019-01-12,USD,6,0.2,241.20000000000002,108.54,Amylin Group,Ornaments,Donald Reynolds,Calumet,100453,39770,31332,Indiana,132.66000000000003
SO - 0001799,Online,WARE-PUJ1005,2018-10-27,2018-12-19,2019-01-05,2019-01-06,USD,1,0.05,1051.9,673.2160000000001,Medsep Group,Wall Coverings,Frank Brown,Staten Island,474558,156341,55039,New York,378.68399999999997
SO - 0001800,Distributor,WARE-UHY1004,2018-10-27,2018-12-19,2019-01-09,2019-01-17,USD,8,0.075,180.9,130.248,Ei ,Platters,Patrick Graham,Woodbridge (Township),102105,33375,79720,New Jersey,50.652000000000015
SO - 0001801,Online,WARE-NMK1003,2018-07-19,2018-12-20,2019-01-05,2019-01-15,USD,6,0.05,268.0,219.76,WakeFern ,Dining Furniture,Shawn Wallace,Wayne,106185,41596,32194,Indiana,48.24000000000001
SO - 0001802,In-Store,WARE-XYS1001,2018-07-19,2018-12-20,2019-01-04,2019-01-10,USD,1,0.2,1159.1000000000001,533.186,Ei ,Bakeware,Stephen Payne,Huntsville,190582,78554,48775,Alabama,625.9140000000001
SO - 0001803,In-Store,WARE-UHY1004,2018-10-27,2018-12-20,2019-01-08,2019-01-15,USD,6,0.05,951.4,551.8119999999999,Medline ,Mirrors,Chris Armstrong,Lincoln,277348,107574,49840,Nebraska,399.5880000000001
SO - 0001804,Online,WARE-PUJ1005,2018-10-27,2018-12-20,2018-12-24,2019-01-02,USD,5,0.05,4006.6,2644.356,Prasco Group,Pendants,Shawn Wallace,Lewisville,104039,38430,57267,Texas,1362.2439999999997
SO - 0001805,Online,WARE-NMK1003,2018-07-19,2018-12-20,2019-01-10,2019-01-15,USD,7,0.075,5648.1,2372.202,Trigen ,TV and video,Nicholas Cunningham,Hollywood,149728,55823,46791,Florida,3275.898
SO - 0001806,Online,WARE-NMK1003,2018-07-19,2018-12-20,2019-01-13,2019-01-23,USD,5,0.05,3926.2000000000003,3219.484,AuroMedics Corp,Mirrors,Frank Brown,Niles (Township),106229,37478,69857,Illinois,706.7160000000003
SO - 0001807,Online,WARE-MKL1006,2018-10-27,2018-12-20,2019-01-04,2019-01-07,USD,8,0.075,5326.5,4207.935,Burt's Corp,Collectibles,Roger Alexander,Odessa,118968,39057,59337,Texas,1118.5649999999996
SO - 0001808,Distributor,WARE-NMK1003,2018-07-19,2018-12-20,2019-01-04,2019-01-12,USD,5,0.075,5467.2,2241.5519999999997,Pure Group,Furniture Cushions,Douglas Tucker,Wayne,142010,52540,35884,Indiana,3225.648
SO - 0001809,In-Store,WARE-NMK1003,2018-10-27,2018-12-20,2018-12-23,2018-12-29,USD,8,0.075,2546.0,1654.9,AuroMedics Corp,Cocktail Glasses,Joshua Bennett,Peoria City,104291,43267,42041,Illinois,891.0999999999999
SO - 0001810,In-Store,WARE-NBV1002,2018-07-19,2018-12-20,2019-01-14,2019-01-17,USD,5,0.05,1072.0,889.76,Sundial ,Bathroom Furniture,Adam Hernandez,San Diego,1394928,485091,66116,California,182.24
SO - 0001811,Online,WARE-UHY1004,2018-10-27,2018-12-20,2018-12-29,2019-01-02,USD,7,0.075,1112.2,611.71,Burt's Corp,Wall Coverings,Roger Alexander,Lowell,110699,38489,48002,Massachusetts,500.49
SO - 0001812,In-Store,WARE-NBV1002,2018-07-19,2018-12-20,2019-01-13,2019-01-22,USD,3,0.1,2780.5,1390.25,21st Ltd,Outdoor Decor,Joshua Ryan,Visalia,130104,41730,52157,California,1390.25
SO - 0001813,Online,WARE-NMK1003,2018-07-19,2018-12-20,2019-01-11,2019-01-19,USD,3,0.05,2646.5,1534.9699999999998,Victory Ltd,Stemware,Carl Nguyen,South Bend,101516,39448,34523,Indiana,1111.5300000000002
SO - 0001814,In-Store,WARE-PUJ1005,2018-07-19,2018-12-21,2019-01-05,2019-01-13,USD,5,0.15,214.4,135.072,21st Ltd,Computers,Joshua Ryan,Smithtown,118275,39425,112693,New York,79.328
SO - 0001815,Distributor,WARE-XYS1001,2018-07-19,2018-12-21,2018-12-29,2018-12-31,USD,7,0.1,1125.6000000000001,821.6880000000001,Medsep Group,Cocktail Glasses,Joe Price,Burbank,105319,41361,66076,California,303.91200000000003
SO - 0001816,In-Store,WARE-UHY1004,2018-07-19,2018-12-21,2019-01-15,2019-01-24,USD,7,0.05,1842.5,737.0,OHTA'S Corp,Wreaths,Joshua Bennett,New Orleans,389617,153140,36792,Louisiana,1105.5
SO - 0001817,Wholesale,WARE-NMK1003,2018-10-27,2018-12-21,2018-12-29,2019-01-06,USD,5,0.15,1125.6000000000001,562.8000000000001,Medline ,Wall Coverings,Shawn Torres,Milton,118844,43510,84039,Illinois,562.8000000000001
SO - 0001818,In-Store,WARE-NMK1003,2018-10-27,2018-12-21,2019-01-05,2019-01-14,USD,8,0.15,6224.3,4170.281,Llorens Ltd,Outdoor Decor,Joshua Little,Warren,103365,38889,41504,Indiana,2054.0190000000002
SO - 0001819,In-Store,WARE-NMK1003,2018-07-19,2018-12-21,2018-12-25,2019-01-04,USD,6,0.05,2224.4,1801.7640000000001,Burt's Corp,Dining Furniture,Adam Hernandez,Colorado Springs,456568,174441,54527,Colorado,422.63599999999997
SO - 0001820,In-Store,WARE-UHY1004,2018-07-19,2018-12-21,2019-01-01,2019-01-04,USD,4,0.2,1192.6000000000001,739.412,"PEDIFIX, Corp",Table Lamps,Joshua Little,Fargo,118523,49962,46175,North Dakota,453.1880000000001
SO - 0001821,Wholesale,WARE-NMK1003,2018-10-27,2018-12-21,2019-01-14,2019-01-20,USD,2,0.075,6097.0,2926.56,O.E. Ltd,Dinnerware,Donald Reynolds,Hollywood,149728,55823,46791,Florida,3170.44
SO - 0001822,In-Store,WARE-UHY1004,2018-07-19,2018-12-21,2019-01-17,2019-01-23,USD,6,0.075,1031.8,866.7119999999999,Llorens Ltd,Wall Coverings,Shawn Cook,Raleigh,451066,170366,55398,North Carolina,165.08800000000008
SO - 0001823,Online,WARE-PUJ1005,2018-07-19,2018-12-21,2019-01-09,2019-01-12,USD,1,0.05,2425.4,1358.2240000000002,Eminence Corp,Outdoor Furniture,Todd Roberts,Nashville,678889,248677,41759,Tennessee,1067.176
SO - 0001824,In-Store,WARE-NMK1003,2018-10-27,2018-12-21,2019-01-05,2019-01-09,USD,4,0.075,1031.8,691.306,Ei ,Wreaths,Jonathan Hawkins,Jacksonville,868031,318575,46764,Florida,340.4939999999999
SO - 0001825,Online,WARE-NMK1003,2018-07-19,2018-12-21,2019-01-15,2019-01-20,USD,8,0.2,897.8000000000001,619.482,Amylin Group,Rugs,Frank Brown,Fort Collins,161175,58918,55647,Colorado,278.3180000000001
SO - 0001826,Online,WARE-XYS1001,2018-07-19,2018-12-22,2019-01-05,2019-01-07,USD,5,0.05,2458.9,1524.518,Trigen ,Table Lamps,Frank Brown,Lancaster,161103,47427,47225,California,934.3820000000001
SO - 0001827,In-Store,WARE-PUJ1005,2018-07-19,2018-12-22,2019-01-15,2019-01-21,USD,1,0.1,2358.4,1320.7040000000002,Nipro ,Table Linens,Joshua Ryan,Charleston,132609,52450,55546,South Carolina,1037.696
